epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,29.561969301110384,21.904596668843894,25.970566623122142,21.169354838709676,36.49193548387097,19.405241935483872
2,43.1611283474853,23.104792619203135,27.725955258001306,44.002016129032256,22.782258064516128,27.923387096774192
3,46.425947093403,27.09421946440235,31.325522534291313,50.50403225806452,40.67540322580645,48.538306451612904
4,49.0314745264533,41.4036985630307,48.43954114957544,51.71370967741935,41.431451612903224,48.185483870967744
5,50.95117570215545,40.727057478772046,48.84572991508818,52.97379032258065,41.582661290322584,51.159274193548384
6,52.26057315480078,42.82433866753756,51.023636512083606,52.26814516129032,41.935483870967744,52.872983870967744
7,52.87495917700849,43.180519268451995,52.75963422599608,53.67943548387097,40.77620967741935,52.721774193548384
8,50.61030372305682,41.835401698236446,50.61132429784455,53.67943548387097,43.145161290322584,49.395161290322584
9,52.454482364467665,42.80494774657087,49.859160679294575,52.77217741935484,41.733870967741936,49.44556451612903
10,53.01579849771391,43.29686479425212,50.51743141737427,51.36088709677419,41.784274193548384,52.77217741935484
11,53.111732527759635,43.10805845852384,51.61659046374918,53.225806451612904,42.23790322580645,51.26008064516129
12,53.03927171783148,43.395860548661005,51.62373448726323,52.82258064516129,41.733870967741936,52.872983870967744
13,52.63614467668191,42.712075440888306,52.01971750489876,53.32661290322581,42.13709677419355,49.042338709677416
14,52.961708033964726,43.27543272370999,50.88279719137818,52.41935483870968,41.28024193548387,50.957661290322584
15,52.80351894186806,43.22848628347485,52.779025146962766,52.82258064516129,43.346774193548384,53.83064516129032
16,53.16378184193338,43.594872632266494,53.90676028739386,52.46975806451613,41.53225806451613,52.016129032258064
17,48.88553233180927,40.788291966035274,51.30429457870673,51.36088709677419,42.439516129032256,53.225806451612904
18,52.73922273024167,43.54690561724363,53.32401208360549,52.671370967741936,41.733870967741936,51.5625
19,52.14728935336382,43.22134225996081,52.58307478772044,52.167338709677416,42.33870967741935,53.881048387096776
20,53.20154310907903,43.954114957544085,54.76098138471587,53.67943548387097,41.733870967741936,53.729838709677416
21,53.49138634879164,45.512532658393205,55.82646146309602,53.225806451612904,48.73991935483871,58.266129032258064
22,53.70366590463749,48.64671783148269,57.497142390594384,53.225806451612904,50.252016129032256,59.778225806451616
23,53.672028086218155,51.32572664924886,59.50665414761594,53.881048387096776,52.721774193548384,62.247983870967744
24,53.81082625734814,52.594301110385366,60.86708033964729,53.578629032258064,52.21774193548387,61.94556451612903
25,53.82511430437622,53.6291639451339,61.59475016329196,52.11693548387097,52.77217741935484,63.70967741935484
26,54.195582952318745,54.17210973220118,62.14483997387329,52.721774193548384,53.931451612903224,62.34879032258065
27,54.723220117570214,54.85181254082299,62.332625734813845,54.788306451612904,54.88911290322581,63.961693548387096
28,55.28453625081646,55.706033638145,62.71738242978446,54.33467741935484,54.83870967741935,63.91129032258065
29,55.581523514043106,56.15916884389288,62.942929457870676,54.53629032258065,55.59475806451613,65.77620967741936
30,55.72134225996081,56.403086218158066,63.355241672109734,55.34274193548387,55.493951612903224,64.66733870967742
31,55.84993468321358,56.68170313520575,64.26763553233181,55.39314516129032,55.89717741935484,66.78427419354838
32,56.033638145003266,57.137900065316785,67.58858589157414,55.74596774193548,57.711693548387096,71.7741935483871
33,55.51008327890268,67.51102220770738,80.58968811234487,55.292338709677416,73.4375,90.77620967741936
34,55.419252122795555,73.10275146962769,94.19088830829523,55.94758064516129,73.63911290322581,97.98387096774194
35,55.90300457217505,74.41419007184847,97.83740202482038,54.73790322580645,74.04233870967742,97.32862903225806
36,56.100996080992815,75.85422109732201,98.07417537557153,56.40120967741935,76.81451612903226,98.5383064516129
37,56.261226322664925,76.5380062050947,98.23848791639452,56.149193548387096,73.4375,97.73185483870968
38,56.49595852384063,77.57388961463096,98.51710483344219,56.40120967741935,78.17540322580645,99.49596774193549
39,56.6194480731548,79.48236446766819,98.74877531025473,54.63709677419355,81.1491935483871,98.89112903225806
40,56.762328543435665,83.6116100587851,98.79368060091444,55.090725806451616,83.71975806451613,99.54637096774194
41,56.82050130633573,85.97015839320706,98.91104670150229,55.69556451612903,86.54233870967742,99.24395161290323
42,56.86642717178315,86.72334258654475,98.95901371652515,54.83870967741935,87.34879032258064,99.09274193548387
43,56.95827890267799,85.79666067929458,98.56098954931417,56.502016129032256,87.55040322580645,99.39516129032258
44,56.99195787067276,88.02559601567603,99.11924395819726,55.24193548387097,85.8366935483871,99.44556451612904
45,56.98073154800784,88.2388961463096,98.93758164598302,56.19959677419355,87.3991935483871,99.14314516129032
46,57.107282821685175,88.87675538863488,99.13761430437623,56.60282258064516,87.95362903225806,99.49596774193549
47,57.09197419986937,89.61463096015676,98.89982037883736,56.09879032258065,89.61693548387096,99.04233870967742
48,57.34915904637492,90.41884389288047,98.94880796864794,57.25806451612903,89.1633064516129,99.24395161290323
49,57.29506858262573,90.86687622468975,99.1917047681254,56.75403225806452,88.9616935483871,99.09274193548387
50,57.51245101241019,91.26081809274984,99.28559764859568,57.10685483870968,89.61693548387096,99.54637096774194
